Album,Title,Composer,Artist,Tracknumber,Length,Date
EXIT TUNES PRESENTS THE COMPLETE BEST OF azuma,ストロベリー BKA-MIX,ラマーズＰ,ラマーズP & azuma Feat. 巡音ルカ,12,339786,2009
EXIT TUNES PRESENTS THE COMPLETE BEST OF azuma,One day? Good day! (Ryu☆ Remix),初音ミク,azuma Feat. 初音ミク,13,195146,2009
EXIT TUNES PRESENTS THE COMPLETE BEST OF azuma,もーっと! Happy fruit!,デッドボールP,azuma & デッドボールP Feat. 初音ミク,14,269613,2009
EXIT TUNES PRESENTS THE COMPLETE BEST OF azuma,あなたの歌姫 (8ch-arr.),初音ミク,azuma & 164 Feat. 初音ミク,15,229333,2009
azurmalachite,azurmalachite,---,narry,1,256615,0
azurmalachite,sinhalite,---,narry,2,248695,0
azurmalachite,pezzottaite,---,narry,3,235200,0
No title+,-Opening-,ギガP,Celo Project,1,107240,2014
No title+,ヒビカセ,ギガP,Celo Project,2,250560,2014
No title+,オオエドランヴ,ギガP,Celo Project,3,181186,2014
No title+,drop pop candy,ギガP,Celo Project,4,224973,2014
No title+,-Interlude-,ギガP,Celo Project,5,29546,2014
No title+,No title,れをる,Celo Project,6,243906,2014
No title+,Echo,ギガP,Celo Project,7,212986,2014
No title+,-BWW SCREAM-,ギガP,Celo Project,8,81960,2014
No title+,アシンメトリー,L. Petty,Celo Project,9,255826,2014
No title+,ギガンティックO.T.N -Big Death Edition-,ギガP,Celo Project,10,207680,2014
No title+,-Ending-,ギガP,Celo Project,11,50760,2014
アイムマイン ft. VOCALOIDS,アイムマイン,---,VOCALOID,1/6,0,2024
アイムマイン ft. VOCALOIDS,悠久休暇,---,VOCALOID,2/6,0,2024
アイムマイン ft. VOCALOIDS,桜ノ雨 (Acoustic Ver.),---,初音ミク,3/6,0,2024
アイムマイン ft. VOCALOIDS,アイムマイン [Instrumental],---,halyosy,4/6,0,2024
アイムマイン ft. VOCALOIDS,悠久休暇 [Instrumental],---,halyosy,5/6,0,2024
アイムマイン ft. VOCALOIDS,桜ノ雨 (Acoustic Ver.) [Instrumental],---,halyosy,6/6,0,2024
とうほう☆みくれいむ,BadApple!! feat.SEKAI,---,COOL&CREATE,1,234746,0
とうほう☆みくれいむ,"Help me,ERINNNNNN!!",---,COOL&CREATE,2,312133,0
とうほう☆みくれいむ,チルノのパーフェクトさんすう教室,---,COOL&CREATE,3,229573,0
とうほう☆みくれいむ,とうほう☆ワンダーランド,---,COOL&CREATE,4,236133,0
とうほう☆みくれいむ,"Help me,ERINNNNNN!!(English ver)",---,COOL&CREATE,5,310120,0
初音ミクの消失,新世界,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,1,200000,2010
初音ミクの消失,初音ミクとあそぼぅ!!,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,2,275000,2010
初音ミクの消失,A.I.,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,3,274000,2010
初音ミクの消失,初音ミクの暴走,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,4,288000,2010
初音ミクの消失,初音ミクの戸惑,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,5,306000,2010
初音ミクの消失,初音ミクの分裂→破壊,Storyteller,Storyteller (GAiA x cosMo@暴走P) Feat. 初音ミク,6,332000,2010
初音ミクの消失,さよなら常識空間,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,7,278000,2010
初音ミクの消失,0,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,8,221000,2010
初音ミクの消失,初音ミクの終焉,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,9,239000,2010
初音ミクの消失,初音ミクの消失,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,10,289000,2010
初音ミクの消失,Hyper∞LATiON,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,11,138000,2010
初音ミクの消失,∞,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,12,308000,2010
初音ミクの消失,初音ミクの激唱,Storyteller,Storyteller (GAiA x cosMo@暴走P) Feat. 初音ミク,13,300000,2010
初音ミクの消失,浅黄色のマイルストーン,cosMo@暴走P,cosMo@暴走P Feat. 初音ミク,14,224973,2010
Nyan Cat,Nyan Cat,桃音モモ,daniwellP Feat. 桃音モモ,1,226893,2012
Nyan Cat,CUTE CUTE CAT,初音ミク,daniwellP Feat. 初音ミク,2,209400,2012
Nyan Cat,Wander Noise,初音ミク,daniwellP Feat. 初音ミク,3,215200,2012
Nyan Cat,そして僕はゆるやかに呼吸する,初音ミク,daniwellP Feat. 初音ミク,4,255000,2012
Nyan Cat,てむてららる ちょむちょめぷ,初音ミク,daniwellP Feat. 初音ミク,5,212000,2012
Nyan Cat,にゃにゃにゃんにゃんにゃーのこねこ,桃音モモ,daniwellP Feat. 桃音モモ,6,57000,2012
Nyan Cat,次世代センセーションの始まり,初音ミク,daniwellP Feat. 初音ミク,7,225600,2012
Nyan Cat,ムニエル,初音ミク,daniwellP Feat. 初音ミク,8,286800,2012
Nyan Cat,夏の終わりの彼女は,初音ミク,daniwellP Feat. 初音ミク,9,221493,2012
Nyan Cat,コトバトラボラト,初音ミク,daniwellP Feat. 初音ミク,10,191693,2012
Nyan Cat,ねこみみスイッチ,初音ミク,daniwellP Feat. 初音ミク,11,235000,2012
Nyan Cat,Nyanyanyanyanyanyanya!,初音ミク,daniwellP Feat. 初音ミク,12,226800,2012
Nyan Cat,ガール☆ミーツ☆ボーイ,初音ミク,daniwellP Feat. 初音ミク,13,205693,2012
Nyan Cat,さよならワンウェイハート,初音ミク,daniwellP Feat. 初音ミク,14,242693,2012
Nyan Cat,子猫は独り遥か雪に埋もれてわたしを見つめる -脱四畳半remix-,初音ミク,daniwellP Feat. 初音ミク,15,150000,2012
Nyan Cat,まったりお茶でもいかが?,初音ミク,daniwellP Feat. 初音ミク,16,280493,2012
Nyan Cat,ポラロイドパラボロイド,初音ミク,daniwellP Feat. 初音ミク,17,171600,2012
Nyan Cat,Nyanyanyanyanyanyanya! -album remix ver.-,初音ミク,daniwellP Feat. 初音ミク,18,237600,2012
Nyan Cat,ねこみみスイッチ -album remix ver.-,初音ミク,daniwellP Feat. 初音ミク,19,228693,2012
Nyan Cat,Nyan Cat -album remix ver.-,桃音モモ,daniwellP Feat. 桃音モモ,20,237600,2012
Nyan Cat,おやすみにゃさい (outro),桃音モモ,daniwellP Feat. 桃音モモ,21,49600,2012
Nyan Cat,コトバトラボラト -album remix ver.-,初音ミク,daniwellP & くちばしP Feat. 初音ミク,22,185080,2012
GHOST,ゴーストルール,---,DECO*27,1,210000,2016
GHOST,リバーシブル・キャンペーン,---,DECO*27,2,177000,2016
GHOST,LOVE DOLL,---,DECO*27,3,182000,2016
GHOST,散散駄目調子,---,DECO*27,4,212000,2016
GHOST,妄想感傷代償連盟,---,DECO*27,5,270000,2016
GHOST,いいや,---,DECO*27,6,184000,2016
GHOST,正義のタレット,---,DECO*27,7,289000,2016
GHOST,ライアーダンス,---,DECO*27,8,216000,2016
GHOST,Find The Light,---,DECO*27,9,248000,2016
GHOST,生心病,---,DECO*27,10,204000,2016
GHOST,針鼠,---,DECO*27,11,231000,2016
GHOST,Sprite Girl,---,DECO*27,12,280000,2016
GHOST,at,---,DECO*27,13,251386,2016
MANNEQUIN,ヴァンパイア,DECO*27,DECO*27,1,178520,2022
MANNEQUIN,アニマル,DECO*27,DECO*27,2,152320,2022
MANNEQUIN,状態異常彼女,DECO*27,DECO*27,3,173693,2022
MANNEQUIN,U,DECO*27,DECO*27,4,170720,2022
MANNEQUIN,シンデレラ,DECO*27,DECO*27,5,155026,2022
MANNEQUIN,ケサランパサラン,DECO*27,DECO*27,6,160173,2022
MANNEQUIN,ギフト,DECO*27,DECO*27,7,167880,2022
MANNEQUIN,パラサイト,DECO*27,DECO*27,8,165693,2022
MANNEQUIN,ジレンマ,DECO*27,DECO*27,9,166733,2022
MANNEQUIN,おじゃま虫 II,DECO*27,DECO*27,10,234160,2022
MANNEQUIN,モザイクロール (Reloaded),DECO*27,DECO*27,11,159693,2022
MANNEQUIN [Bonus Disc],ヴァンパイア,---,ドラマ,1,2102933,2022
TRANSFORM,Rebirth,DECO*27,DECO*27,1,45066,2024
TRANSFORM,ルーキー,DECO*27,DECO*27,2,168293,2024
TRANSFORM,ハオ,DECO*27,DECO*27,3,181626,2024
TRANSFORM,ラビットホール (Reloaded),DECO*27,DECO*27,4,159666,2024
TRANSFORM,友達バリア,DECO*27,DECO*27,5,193013,2024
TRANSFORM,あいたい星人,DECO*27,DECO*27,6,168560,2024
TRANSFORM,サッドガール・セックス,DECO*27,DECO*27,7,191160,2024
TRANSFORM,モニタリング,DECO*27,DECO*27,8,176960,2024
TRANSFORM,本命,DECO*27,DECO*27,9,181800,2024
TRANSFORM,ネバーランド,DECO*27,DECO*27,10,155040,2024
TRANSFORM,キスミーザウルス,DECO*27,DECO*27,11,180506,2024
TRANSFORM [Bonus Disc],キメラ,---,DECO*27,1,165480,2024
TRANSFORM [Bonus Disc],サラマンダー,---,DECO*27,2,156746,2024
TRANSFORM [Bonus Disc],毒林檎,---,DECO*27,3,145200,2024
TRANSFORM [Bonus Disc],ボルテッカー,---,DECO*27,4,152640,2024
TRANSFORM [Bonus Disc],ラビットホール,---,DECO*27,5,158866,2024
TRANSFORM [Bonus Disc],ゾンビ,---,DECO*27,6,189013,2024
TRANSFORM [Bonus Disc],宇宙散歩,---,DECO*27,7,156706,2024
TRANSFORM [Bonus Disc],マネキン,---,DECO*27,8,166040,2024
TRANSFORM [Bonus Disc],ブループラネット,---,DECO*27,9,204293,2024
TRANSFORM [Bonus Disc],愛言葉IV,---,DECO*27,10,219920,2024
VOCALOID COLLECTION 2008～2012 [Disc 1],愛言葉,DECO*27,DECO*27 Feat. 初音ミク,1,264933,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],僕みたいな君、君みたいな僕。,DECO*27,DECO*27 Feat. 初音ミク,2,268600,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],相愛性理論,DECO*27,DECO*27 Feat. 初音ミク,3,268653,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],心壊サミット,DECO*27,DECO*27 Feat. 初音ミク,4,169400,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],罪と罰,DECO*27,DECO*27 Feat. 初音ミク,5,182133,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],ゆめゆめ,DECO*27,DECO*27 Feat. 初音ミク,6,216773,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],むかしむかしのきょうのぼく,DECO*27,DECO*27 Feat. 初音ミク,7,288186,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],二息歩行,DECO*27,DECO*27 Feat. 初音ミク,8,183386,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],キミ以上、ボク未満。,DECO*27,DECO*27 Feat. 初音ミク,9,223933,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],愛迷エレジー,DECO*27,DECO*27 Feat. 初音ミク,10,177840,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],モザイクロール,DECO*27,DECO*27 Feat. GUMI,11,184200,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],弱虫モンブラン,DECO*27,DECO*27 Feat. GUMI,12,238800,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],ペダルハート,DECO*27,DECO*27 Feat. GUMI,13,235773,2013
VOCALOID COLLECTION 2008～2012 [Disc 1],愛言葉 II,DECO*27,DECO*27 Feat. 初音ミク,14,265880,2013
あいたい星人,あいたい星人（稲葉曇大気圏外Remix）,---,"DECO*27,稲葉曇大気圏外",1,184773,2024
アンデッドアリス,ネオネオン,DECO*27,DECO*27,1,185960,2020
アンデッドアリス,アンデッドアリス,DECO*27,DECO*27,2,209946,2020
アンデッドアリス,フェイクアクター,DECO*27,DECO*27,3,184266,2020
アンデッドアリス,勘違い性反希望症,DECO*27,DECO*27,4,217586,2020
アンデッドアリス,君が嫌いだ,DECO*27,DECO*27,5,232240,2020
アンデッドアリス,依存香炉,DECO*27,DECO*27,6,192440,2020
アンデッドアリス,秘宴,DECO*27,DECO*27,7,230880,2020
アンデッドアリス,なになに,DECO*27,DECO*27,8,182186,2020
アンデッドアリス,ネガティブ進化論,DECO*27,DECO*27,9,191293,2020
アンデッドアリス,ポジティブ・パレード,DECO*27,DECO*27,10,182666,2020
アンデッドアリス,二息歩行 (Reloaded),DECO*27,DECO*27,11,199000,2020
アンデッドアリス,乙女解剖 (TeddyLoid Alllies Remix),DECO*27,DECO*27,12,228266,2020
アンドロイドガール,Reunion,DECO*27,DECO*27,1,37226,2019
アンドロイドガール,アンドロイドガール,DECO*27,DECO*27,2,210653,2019
アンドロイドガール,スクランブル交際,DECO*27,DECO*27,3,183213,2019
アンドロイドガール,モスキート,DECO*27,DECO*27,4,229306,2019
アンドロイドガール,乙女解剖,DECO*27,DECO*27,5,223400,2019
アンドロイドガール,人質交換,DECO*27,DECO*27,6,186293,2019
アンドロイドガール,シンセカイ案内所,DECO*27,DECO*27,7,257546,2019
アンドロイドガール,サイコグラム,DECO*27,DECO*27,8,224786,2019
アンドロイドガール,夜行性ハイズ,DECO*27,DECO*27,9,235640,2019
アンドロイドガール,ヒバナ -Reloaded-,DECO*27,DECO*27,10,206440,2019
アンドロイドガール,愛言葉III,DECO*27,DECO*27,11,246320,2019
アンドロイドガール [Bonus Disc],妄想感傷代償連盟,---,ドラマ,1,2334080,2019
相愛性理論,相愛性理論,DECO*27,DECO*27,1,267853,2010
相愛性理論,ハルイチ。,DECO*27,DECO*27,2,175426,2010
相愛性理論,愛+K=aKi,DECO*27,DECO*27,3,185960,2010
相愛性理論,心壊サミット,DECO*27,DECO*27,4,168773,2010
相愛性理論,愛言葉,DECO*27,DECO*27,5,264400,2010
相愛性理論,恋様シート,DECO*27,DECO*27,6,212653,2010
相愛性理論,僕みたいな君、君みたいな僕。,DECO*27,DECO*27,7,267853,2010
相愛性理論,キミ以上、ボク未満。,DECO*27,DECO*27,8,223173,2010
相愛性理論,好きよ好きよも好きのうち,DECO*27,DECO*27,9,195720,2010
相愛性理論,罪と罰,DECO*27,DECO*27,10,181853,2010
相愛性理論,"""bye-bye"" by my 愛",DECO*27,DECO*27,11,215893,2010
相愛性理論,"愛 think so,",DECO*27,DECO*27,12,239000,2010
相愛性理論,二息歩行,DECO*27,DECO*27,13,183506,2010
相愛性理論,一人ぼっちで二人きり,DECO*27,DECO*27,14,206906,2010
相愛性理論,"愛 think so,",とぴ,DECO*27 Feat. とぴ,15,240413,2010
相愛性理論,ハルイチ。 (kous Remix),DECO*27,DECO*27,16,190293,2010
相愛性理論,愛言葉 (sasakure.UK Remix),DECO*27,DECO*27,17,264920,2010
相愛性理論,相愛性理論 (Treow Remix),DECO*27,DECO*27,18,282080,2010
ハローセカイ,ハローセカイ,---,"DECO*27,tepe Feat.初音ミク,鏡音リン,鏡音レン,巡音ルカ,MEIKO,KAITO",1,163360,2025
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,エンクロージャー,鏡音レン,Dios / シグナルP Feat. 鏡音リン・レン,1,232973,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,革命,巡音ルカ,Dios / シグナルP Feat. 巡音ルカ,2,239240,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,リンリンシグナル,鏡音レン,Dios / シグナルP Feat. 鏡音リン・レン,3,243840,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,UNBALANCE,鏡音リン,Dios / シグナルP Feat. 鏡音リン,4,290040,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,サンドリヨン,ＫＡＩＴＯ,Dios / シグナルP Feat. 初音ミク & KAITO,5,277840,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,ラ・ピュセル,巡音ルカ,Dios / シグナルP Feat. 巡音ルカ,6,267746,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,トロピカル・サマー,ＧＵＭＩ,Dios / シグナルP Feat. GUMI,7,306946,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,twinkle our days -Digi mix-,鏡音リン,Dios / シグナルP Feat. 鏡音リン,8,251040,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,Transmit,鏡音リン,Dios / シグナルP Feat. 鏡音リン,9,272413,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,会いたい,ＧＵＭＩ,Dios / シグナルP Feat. GUMI,10,300773,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,Sigh,鏡音レン,Dios / シグナルP Feat. 鏡音レン,11,262346,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,TABOO,初音ミク,Dios / シグナルP Feat. 初音ミク,12,216146,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,CHU! して!,鏡音リン,Dios / シグナルP Feat. 鏡音リン,13,241240,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,ラビリンス,鏡音リン,Dios / シグナルP Feat. 鏡音リン,14,273546,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,Brand-new Step,ＧＵＭＩ,Dios / シグナルP Feat. GUMI,15,214906,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,サンドリヨン,赤飯,Dios / シグナルP Feat. 赤飯 & Mayumi Morinaga,16,279240,2011
EXIT TUNES PRESENTS THE BEST OF Dios／シグナルP,会いたい,森永真由美,Dios / シグナルP Feat. Mayumi Morinaga,17,300493,2011
Relations,Transmit,シグナルP,Dios / シグナルP,1,271866,2010
Relations,Time & Space,Dios,Dios / シグナルP,2,298920,2010
Relations,サンドリヨン,シグナルP,Dios / シグナルP,3,277346,2010
Relations,CHU!して!,シグナルP,Dios / シグナルP,4,240906,2010
Relations,革命,シグナルP,Dios / シグナルP,5,238560,2010
Relations,Repeated Regret,シグナルP,Dios / シグナルP,6,223880,2010
Relations,ラビリンス,シグナルP,Dios / シグナルP,7,273373,2010
Relations,TABOO,Dios,Dios / シグナルP,8,215360,2010
Relations,桜舞う日2010,Dios,Dios / シグナルP,9,378933,2010
Relations,アドレサンス,シグナルP,Dios / シグナルP,10,277640,2010
Relations,Overcome,Dios,Dios / シグナルP,11,251706,2010
Relations,Step and Go!,Dios,Dios / シグナルP,12,267120,2010
Relations,ライバル,Dios,Dios / シグナルP,13,286093,2010
Relations,リンリンシグナル,シグナルP,Dios / シグナルP,14,243253,2010
